family,comparator,n,full_mean_loss,comparator_mean_loss,mean_delta_full_minus_comparator,ci_low,ci_high,raw_p,rank_biserial,dataset,rho,holm_p,holm_significant,direction,holm_direction,attack,scenario
A2-attack-rho07,Window-COWA,20,0.3591346153846154,0.3557692307692308,0.003365384615384605,0.0014423076923076876,0.005288461538461525,0.015625,1.0,duck,,0.0625,False,comparator_win,not_significant,on_off,
A2-attack-rho07,Window-COWA,20,0.3,0.28365384615384615,0.01634615384615384,0.007211538461538459,0.025,0.003570556640625,0.7450980392156863,duck,,0.024993896484375,True,comparator_win,comparator_win,random,
A2-attack-rho07,Window-COWA,20,0.3970428955325053,0.399031578038394,-0.0019886825058886746,-0.0038045822437296774,-6.49418140332791e-05,0.05864524841308594,-0.4666666666666667,product,,0.1759357452392578,False,full_win,not_significant,collusive,
A2-attack-rho07,Window-COWA,20,0.2868380899652218,0.2887199524304367,-0.001881862465214854,-0.0030733830496028386,-0.0006279306323185552,0.010370254516601562,-0.6476190476190476,product,,0.05185127258300781,False,full_win,not_significant,on_off,
A2-attack-rho07,Window-COWA,20,0.3979146518854342,0.3993100863846101,-0.001395434499175933,-0.0037062926505672775,0.0009085179598549297,0.26557159423828125,-0.29523809523809524,product,,0.5311431884765625,False,full_win,not_significant,random,
A2-attack-rho07,Window-COWA,20,0.21025692780083283,0.2552145932994013,-0.044957665498568514,-0.047594697051886986,-0.04216184153725028,1.9073486328125e-06,-1.0,weather,,2.288818359375e-05,True,full_win,full_win,collusive,
A2-attack-rho07,Window-COWA,20,0.17251276863167808,0.16957152379296014,0.0029412448387179354,0.0010483276986505046,0.004884096255433205,0.008266448974609375,0.580952380952381,weather,,0.04959869384765625,True,comparator_win,comparator_win,on_off,
A2-attack-rho07,Window-COWA,20,0.08436350634259707,0.105096172549521,-0.02073266620692393,-0.02211914446736496,-0.019264024470479025,1.9073486328125e-06,-1.0,weather,,2.288818359375e-05,True,full_win,full_win,random,
A3-behavior-switch,Window-COWA,15,0.6879301827613504,0.6343631791570193,0.05356700360433107,0.04444892562222114,0.06390004064415418,6.103515625e-05,1.0,dog,,0.00048828125,True,comparator_win,comparator_win,,benign_to_malicious
A3-behavior-switch,Window-COWA,15,0.17037554761294746,0.17951233570235525,-0.00913678808940778,-0.012129214920727853,-0.005926455927905245,0.00042724609375,-0.9166666666666666,dog,,0.0025634765625,True,full_win,full_win,,malicious_to_benign
A3-behavior-switch,Window-COWA,15,0.6185185185185186,0.628395061728395,-0.00987654320987656,-0.018518518518518545,-7.170190367370803e-18,0.0859375,-0.6444444444444445,duck,,0.34375,False,full_win,not_significant,,benign_to_malicious
A3-behavior-switch,Window-COWA,15,0.3444444444444444,0.3395061728395062,0.0049382716049382646,-0.007407407407407387,0.01728395061728395,0.5234375,0.24444444444444444,duck,,1.0,False,comparator_win,not_significant,,malicious_to_benign
A3-behavior-switch,Window-COWA,15,0.5551976983902827,0.5354422431681242,0.0197554552221584,0.016198055595018686,0.02345684096414455,6.103515625e-05,1.0,product,,0.00048828125,True,comparator_win,comparator_win,,benign_to_malicious
