family,contrast,n,candidate_mean_loss,comparator_mean_loss,mean_delta_candidate_minus_comparator,ci_low,ci_high,raw_p,rank_biserial,dataset,rho,holm_p,holm_significant,direction,attack,scenario
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.34278846153846154,0.3355769230769231,0.0072115384615384845,-0.004326923076923049,0.018750000000000017,0.211517333984375,0.3202614379084967,duck,7/10,1.0,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.5543269230769231,0.55,0.004326923076923073,-0.0038461538461538594,0.012499999999999997,0.359954833984375,0.24210526315789474,duck,9/10,1.0,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.24450395911864464,0.24294649430696622,0.001557464811678418,0.00013029275642186932,0.0029615036982378134,0.05051994323730469,0.49523809523809526,product,1/10,0.3536396026611328,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.4180055314137334,0.4152633159750918,0.002742215438641646,0.00041036063267991044,0.005212280337061646,0.04056549072265625,0.4380952380952381,product,1/2,0.32452392578125,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.3285886155820197,0.32490130596451167,0.0036873096175080214,0.0015489308412113267,0.005688815557840391,0.0042400360107421875,0.7142857142857143,product,3/10,0.046875,True,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.5040266120095481,0.4951719762910264,0.008854635718521716,0.007527914700023839,0.010231505946223568,1.9073486328125e-06,1.0,product,7/10,3.814697265625e-05,True,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.6711958143536239,0.6582265686731065,0.012969245680517365,0.01201131661852694,0.013919453829269913,1.9073486328125e-06,1.0,product,9/10,3.814697265625e-05,True,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,9,0.025825367548440628,0.03267261002725046,-0.006847242478809831,-0.007713696550521999,-0.006093182974903959,0.00390625,-1.0,weather,1/10,0.046875,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.0971991167454498,0.1368693330188337,-0.03967021627338389,-0.04133342450666498,-0.03813935523678496,1.9073486328125e-06,-1.0,weather,1/2,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.04878676005135827,0.07892274426330557,-0.030135984211947308,-0.030957196867002088,-0.02932937359529087,1.9073486328125e-06,-1.0,weather,3/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,20,0.13354564898100627,0.16950447640993557,-0.035958827428929314,-0.03810294951251945,-0.03370759308300687,1.9073486328125e-06,-1.0,weather,7/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-COWA,9,0.23542427158400286,0.24691897162051868,-0.011494700036515822,-0.014586500515988953,-0.008048105226238843,0.00390625,-1.0,weather,9/10,0.046875,True,candidate_win,,
A2-attack-rho07,Tuned-LIR-vs-COWA,20,0.47356001162656536,0.45606922177110565,0.017490789855459706,0.011588429054061143,0.023654099460864105,2.09808349609375e-05,0.9523809523809523,dog,,0.000152587890625,True,comparator_win,collusive,
A2-attack-rho07,Tuned-LIR-vs-COWA,20,0.38304291490843617,0.38670733912340227,-0.0036644242149660835,-0.009246273379998182,0.0019242776146715672,0.228668212890625,-0.2761904761904762,dog,,0.9146728515625,False,candidate_win,on_off,
A2-attack-rho07,Tuned-LIR-vs-COWA,20,0.31502522963615764,0.3066198576487325,0.008405371987425187,0.0025760069669851075,0.013925531686503002,0.013500213623046875,0.6285714285714286,dog,,0.08100128173828125,False,comparator_win,random,
A2-attack-rho07,Tuned-LIR-vs-COWA,20,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,1.0,0.0,duck,,1.0,False,tie,collusive,
A2-attack-rho07,Tuned-LIR-vs-COWA,20,0.3591346153846154,0.35865384615384616,0.0004807692307692285,-0.004326923076923091,0.005769230769230765,0.888671875,0.07692307692307693,duck,,1.0,False,comparator_win,on_off,
A2-attack-rho07,Tuned-LIR-vs-COWA,20,0.2793269230769231,0.2841346153846154,-0.004807692307692312,-0.016346153846153857,0.005781249999999839,0.409759521484375,-0.19852941176470587,duck,,1.0,False,candidate_win,random,
A2-attack-rho07,Tuned-LIR-vs-COWA,20,0.39508974884969,0.3932143042262578,0.001875444623432234,0.00032098793093220996,0.003360458120571528,0.03183555603027344,0.4857142857142857,product,,0.1591777801513672,False,comparator_win,collusive,
