family,dataset,scenario,replicate,fast_cowa_loss,exact_cowa_loss,abs_diff,match
A3,weather,malicious_to_benign,11,0.026435654002320993,0.026435654002321046,5.204170427930421e-17,True
A3,weather,malicious_to_benign,12,0.024341336968686077,0.024341336968686143,6.591949208711867e-17,True
A3,weather,malicious_to_benign,13,0.022417248748955537,0.022417248748955523,1.3877787807814457e-17,True
A3,weather,malicious_to_benign,14,0.025867152041163227,0.025867152041163192,3.469446951953614e-17,True
A3,weather,malicious_to_benign,15,0.022394222790045448,0.022394222790045486,3.8163916471489756e-17,True
A3,weather,malicious_to_benign,16,0.02412251399352184,0.024122513993521826,1.3877787807814457e-17,True
A3,weather,malicious_to_benign,17,0.023827538128363076,0.023827538128363118,4.163336342344337e-17,True
A3,weather,malicious_to_benign,18,0.027609932855602662,0.027609932855602645,1.734723475976807e-17,True
A3,weather,malicious_to_benign,19,0.02348099990206216,0.023480999902062174,1.3877787807814457e-17,True
A3,weather,malicious_to_benign,20,0.026107752105457103,0.026107752105457155,5.204170427930421e-17,True
