D,m,rep,method,seconds,share_secret,reconstruct,local_add,local_sub,secure_mul,secure_sqr,secure_div,public_mul,public_mul_local,public_mul_rescaled,nonlinear_or_rescaled_calls,high_level_calls
4,50,12,fast,0.004889206999905582,204,412,295,0,200,0,4,0,0,0,204,204
4,50,13,full,0.12448506500004441,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,13,fast,0.0049385510001229704,204,412,295,0,200,0,4,0,0,0,204,204
4,50,14,full,0.12396706299978177,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,14,fast,0.004902667000351357,204,412,295,0,200,0,4,0,0,0,204,204
4,50,15,full,0.12312120599972332,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,15,fast,0.004959521999808203,204,412,295,0,200,0,4,0,0,0,204,204
4,50,16,full,0.12772021699993275,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,16,fast,0.0049430569997639395,204,412,295,0,200,0,4,0,0,0,204,204
4,50,17,full,0.12732057899984284,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,17,fast,0.00497423400020125,204,412,295,0,200,0,4,0,0,0,204,204
4,50,18,full,0.12672288700014178,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,18,fast,0.004907377000108681,204,412,295,0,200,0,4,0,0,0,204,204
4,50,19,full,0.12760421300026792,5494,8792,4945,2200,2700,2200,594,0,0,0,5494,5494
4,50,19,fast,0.00488967599994794,204,412,295,0,200,0,4,0,0,0,204,204
4,100,0,full,0.2564088159997482,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,0,fast,0.009894345999782672,404,812,595,0,400,0,4,0,0,0,404,404
4,100,1,full,0.2513918169997851,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,1,fast,0.009610042000076646,404,812,595,0,400,0,4,0,0,0,404,404
4,100,2,full,0.2540298169997186,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,2,fast,0.009834519999913027,404,812,595,0,400,0,4,0,0,0,404,404
4,100,3,full,0.2721345630002361,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,3,fast,0.009691872000075819,404,812,595,0,400,0,4,0,0,0,404,404
4,100,4,full,0.2659739149999041,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,4,fast,0.009779162000086217,404,812,595,0,400,0,4,0,0,0,404,404
4,100,5,full,0.24823678000029759,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,5,fast,0.009800860999803263,404,812,595,0,400,0,4,0,0,0,404,404
4,100,6,full,0.24672473200007516,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,6,fast,0.009710340999845357,404,812,595,0,400,0,4,0,0,0,404,404
4,100,7,full,0.2457849659999738,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,7,fast,0.009715345000131492,404,812,595,0,400,0,4,0,0,0,404,404
4,100,8,full,0.2585672830000476,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,8,fast,0.010632320000240725,404,812,595,0,400,0,4,0,0,0,404,404
4,100,9,full,0.2876748379999299,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,9,fast,0.015285825999853841,404,812,595,0,400,0,4,0,0,0,404,404
4,100,10,full,0.26888718700001846,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,10,fast,0.009804139999687322,404,812,595,0,400,0,4,0,0,0,404,404
4,100,11,full,0.2521692710001844,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,11,fast,0.009677637000095274,404,812,595,0,400,0,4,0,0,0,404,404
4,100,12,full,0.24910699100018974,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,12,fast,0.009609031999843864,404,812,595,0,400,0,4,0,0,0,404,404
4,100,13,full,0.25589114600006724,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,13,fast,0.009569133999775659,404,812,595,0,400,0,4,0,0,0,404,404
4,100,14,full,0.24640883400024904,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,14,fast,0.009830103000240342,404,812,595,0,400,0,4,0,0,0,404,404
4,100,15,full,0.25397700699977577,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,15,fast,0.009638197000185755,404,812,595,0,400,0,4,0,0,0,404,404
4,100,16,full,0.24809750199983682,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,16,fast,0.010083570000006148,404,812,595,0,400,0,4,0,0,0,404,404
4,100,17,full,0.298214487000223,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,17,fast,0.011166047000187973,404,812,595,0,400,0,4,0,0,0,404,404
4,100,18,full,0.26603808700019727,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,18,fast,0.010227000000213593,404,812,595,0,400,0,4,0,0,0,404,404
4,100,19,full,0.25445269200008624,10944,17492,9945,4400,5400,4400,1144,0,0,0,10944,10944
4,100,19,fast,0.009770054999989952,404,812,595,0,400,0,4,0,0,0,404,404
4,200,0,full,0.5022232289998101,21844,34892,19945,8800,10800,8800,2244,0,0,0,21844,21844
4,200,0,fast,0.019124258999909216,804,1612,1195,0,800,0,4,0,0,0,804,804
4,200,1,full,0.49769846600020173,21844,34892,19945,8800,10800,8800,2244,0,0,0,21844,21844
4,200,1,fast,0.019181768999715132,804,1612,1195,0,800,0,4,0,0,0,804,804
4,200,2,full,0.495137872000214,21844,34892,19945,8800,10800,8800,2244,0,0,0,21844,21844
4,200,2,fast,0.019745521999993798,804,1612,1195,0,800,0,4,0,0,0,804,804
4,200,3,full,0.495377266000105,21844,34892,19945,8800,10800,8800,2244,0,0,0,21844,21844
4,200,3,fast,0.01932440399968982,804,1612,1195,0,800,0,4,0,0,0,804,804
4,200,4,full,0.49914248899995073,21844,34892,19945,8800,10800,8800,2244,0,0,0,21844,21844
4,200,4,fast,0.01942510199978642,804,1612,1195,0,800,0,4,0,0,0,804,804
4,200,5,full,0.4996559179999167,21844,34892,19945,8800,10800,8800,2244,0,0,0,21844,21844
4,200,5,fast,0.019432868999956554,804,1612,1195,0,800,0,4,0,0,0,804,804
4,200,6,full,0.4950236100003167,21844,34892,19945,8800,10800,8800,2244,0,0,0,21844,21844
4,200,6,fast,0.01927325800033941,804,1612,1195,0,800,0,4,0,0,0,804,804
4,200,7,full,0.4975596790000054,21844,34892,19945,8800,10800,8800,2244,0,0,0,21844,21844
4,200,7,fast,0.019138231000397354,804,1612,1195,0,800,0,4,0,0,0,804,804
