dataset,rho,calibration_epoch,task_index,task_id,method,display_name,quantity,n,mean,bootstrap_95_ci_low,bootstrap_95_ci_high
dog,7/10,25,428,dog:769,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4129979199403061,0.4108162053565195,0.4151183478346481
dog,7/10,25,428,dog:769,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.10148682477352518,0.0972566447305743,0.1056297161608939
dog,7/10,25,428,dog:769,no_eg,No-EG,mean_reputation_honest,20,0.26701740303486665,0.2602197918622207,0.2738478402880282
dog,7/10,25,428,dog:769,no_eg,No-EG,mean_reputation_malicious,20,0.5923772644094114,0.58824177076377,0.596479173031298
dog,7/10,25,428,dog:769,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.3253598613745447,-0.33494868220480783,-0.315595230776322
dog,7/10,26,430,dog:693,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5132472665897849,0.5090757493545416,0.517363393861684
dog,7/10,26,430,dog:693,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.40998006380894825,0.4076582982923415,0.41213992529970983
dog,7/10,26,430,dog:693,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.10326720278083669,0.09950977687337717,0.10687081465779383
dog,7/10,26,430,dog:693,no_eg,No-EG,mean_reputation_honest,20,0.2717245763985446,0.26498625147575167,0.278651451723755
dog,7/10,26,430,dog:693,no_eg,No-EG,mean_reputation_malicious,20,0.5830695458706817,0.5789852813917011,0.5870087535196583
dog,7/10,26,430,dog:693,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.31134496947213713,-0.32064133289992663,-0.3018733129279218
dog,7/10,27,443,dog:546,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5135150444327021,0.5092985015183871,0.5175287018052941
dog,7/10,27,443,dog:546,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4066817794040745,0.4043165943005238,0.40895479906164184
dog,7/10,27,443,dog:546,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.10683326502862757,0.10315662410586547,0.11042937807547659
dog,7/10,27,443,dog:546,no_eg,No-EG,mean_reputation_honest,20,0.2706046402964984,0.26387461685769986,0.2777133454909673
dog,7/10,27,443,dog:546,no_eg,No-EG,mean_reputation_malicious,20,0.5805626705950002,0.5762890898292011,0.5847132801937885
dog,7/10,27,443,dog:546,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.30995803029850183,-0.31934737368962546,-0.3001231673836158
dog,7/10,28,448,dog:548,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5071980734217353,0.5027071323222901,0.5114649422397579
dog,7/10,28,448,dog:548,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4036817881589601,0.4012305564691582,0.40596406585308853
dog,7/10,28,448,dog:548,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.1035162852627752,0.09930933194412961,0.10760643419602443
dog,7/10,28,448,dog:548,no_eg,No-EG,mean_reputation_honest,20,0.26724011505199746,0.2601581467411127,0.2748061210560489
dog,7/10,28,448,dog:548,no_eg,No-EG,mean_reputation_malicious,20,0.5753399340861007,0.571058868555275,0.5795085169509399
dog,7/10,28,448,dog:548,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.3080998190341033,-0.3174406769397174,-0.2985175905829834
dog,7/10,29,450,dog:68,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5087389633083469,0.5042616179615369,0.5129307258006333
dog,7/10,29,450,dog:68,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.39975939641887764,0.3972801289455797,0.40215277021272766
dog,7/10,29,450,dog:68,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.10897956688946925,0.10488083517673381,0.11281564201437251
dog,7/10,29,450,dog:68,no_eg,No-EG,mean_reputation_honest,20,0.27403146539136597,0.2673500148872163,0.2809316680183499
dog,7/10,29,450,dog:68,no_eg,No-EG,mean_reputation_malicious,20,0.5668035800850366,0.562716882617642,0.5709628892572958
dog,7/10,29,450,dog:68,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.2927721146936707,-0.30205329623389066,-0.28356498881601166
dog,7/10,30,460,dog:128,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5127024186608905,0.5081830562138706,0.5170812362894887
dog,7/10,30,460,dog:128,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.3973686449729251,0.3947929362249038,0.3997448537305429
dog,7/10,30,460,dog:128,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.11533377368796538,0.1113445665785676,0.11909180617867465
dog,7/10,30,460,dog:128,no_eg,No-EG,mean_reputation_honest,20,0.2738582827962744,0.26604602254366805,0.28179337133702254
dog,7/10,30,460,dog:128,no_eg,No-EG,mean_reputation_malicious,20,0.5688985152736661,0.5652698000277644,0.5728280557895226
dog,7/10,30,460,dog:128,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.29504023247739164,-0.30520141548273166,-0.2849629439679495
