seed,family,attack,rho,endpoint,lir_pptd_primary_loss,mean_vote_primary_loss,delta_lir_minus_mean,final_reputation_gap,effective_attacked_report_fraction,calibration_attacked_count,on_off_starting_phase
4011,synthetic_num_longitudinal,random,0,MAE,0.0088796239846455465,0.0088842484447977379,-0.0000046244601521914758,,0.0,0,not_applicable
4012,synthetic_num_longitudinal,random,0,MAE,0.0088368450902177113,0.0088461784259623817,-0.0000093333357446704239,,0.0,0,not_applicable
4013,synthetic_num_longitudinal,random,0,MAE,0.0092246796187103284,0.0092274052879301291,-0.0000027256692198006697,,0.0,0,not_applicable
4014,synthetic_num_longitudinal,random,0,MAE,0.0090702139641508921,0.0090733513132578914,-0.0000031373491069993147,,0.0,0,not_applicable
4015,synthetic_num_longitudinal,random,0,MAE,0.0086543396148364171,0.008660753162494838,-0.0000064135476584208753,,0.0,0,not_applicable
4016,synthetic_num_longitudinal,random,0,MAE,0.0086756998364035750,0.0086774213518125822,-0.0000017215154090071766,,0.0,0,not_applicable
4017,synthetic_num_longitudinal,random,0,MAE,0.0090613180701914457,0.0090634651813208202,-0.0000021471111293745164,,0.0,0,not_applicable
4018,synthetic_num_longitudinal,random,0,MAE,0.0088197630558576692,0.0088256840929423711,-0.0000059210370847018850,,0.0,0,not_applicable
4019,synthetic_num_longitudinal,random,0,MAE,0.0085189988690259008,0.0085169667651120300,0.0000020321039138708352,,0.0,0,not_applicable
4020,synthetic_num_longitudinal,random,0,MAE,0.0086737442376650567,0.0086662523796788924,0.0000074918579861642415,,0.0,0,not_applicable
4001,synthetic_num_longitudinal,random,1/10,MAE,0.015819176250859890,0.026856519129738343,-0.011037342878878453,0.2188043504237972,0.1,5,not_applicable
4002,synthetic_num_longitudinal,random,1/10,MAE,0.015471966445015947,0.025370908993079876,-0.0098989425480639288,0.2224618143779883,0.1,5,not_applicable
4003,synthetic_num_longitudinal,random,1/10,MAE,0.015851813252452088,0.025472240246466641,-0.0096204269940145531,0.2188718128136644,0.1,5,not_applicable
4004,synthetic_num_longitudinal,random,1/10,MAE,0.015890213210907938,0.026309527567317012,-0.010419314356409074,0.20426409323259093,0.1,5,not_applicable
4005,synthetic_num_longitudinal,random,1/10,MAE,0.014942997584291758,0.024274383933817928,-0.0093313863495261703,0.2546343293414287,0.1,5,not_applicable
4006,synthetic_num_longitudinal,random,1/10,MAE,0.016673901593439262,0.024887765645978229,-0.0082138640525389671,0.18673440850237144,0.1,5,not_applicable
4007,synthetic_num_longitudinal,random,1/10,MAE,0.015375115076236247,0.025830362590392085,-0.010455247514155838,0.2728807467913761,0.1,5,not_applicable
4008,synthetic_num_longitudinal,random,1/10,MAE,0.016299166515038233,0.026918442893331727,-0.010619276378293494,0.2517191138921069,0.1,5,not_applicable
4009,synthetic_num_longitudinal,random,1/10,MAE,0.015971095243947637,0.025678743257305155,-0.0097076480133575181,0.236289550075093,0.1,5,not_applicable
4010,synthetic_num_longitudinal,random,1/10,MAE,0.015555595399046238,0.024903377108442895,-0.0093477817093966574,0.24591875291461462,0.1,5,not_applicable
4011,synthetic_num_longitudinal,random,1/10,MAE,0.015991543888494299,0.025849414992538983,-0.0098578711040446846,0.1766689610279747,0.1,5,not_applicable
4012,synthetic_num_longitudinal,random,1/10,MAE,0.015186450450538539,0.025243454675891570,-0.010057004225353031,0.2621030139807763,0.1,5,not_applicable
4013,synthetic_num_longitudinal,random,1/10,MAE,0.015431984463119668,0.025640875150133456,-0.010208890687013788,0.22791946445223632,0.1,5,not_applicable
4014,synthetic_num_longitudinal,random,1/10,MAE,0.015443720163748181,0.024141724419403816,-0.0086980042556556352,0.19759531112970996,0.1,5,not_applicable
4015,synthetic_num_longitudinal,random,1/10,MAE,0.016853233036228716,0.026428222375530526,-0.0095749893393018096,0.18697522209848938,0.1,5,not_applicable
4016,synthetic_num_longitudinal,random,1/10,MAE,0.016732009196177607,0.027255084834668390,-0.010523075638490784,0.1942276683779165,0.1,5,not_applicable
4017,synthetic_num_longitudinal,random,1/10,MAE,0.015737137943921310,0.025289770798788213,-0.0095526328548669032,0.263693882782158,0.1,5,not_applicable
4018,synthetic_num_longitudinal,random,1/10,MAE,0.015133769015906709,0.023979237701349313,-0.0088454686854426039,0.21347696553646955,0.1,5,not_applicable
4019,synthetic_num_longitudinal,random,1/10,MAE,0.015882387872827268,0.025676821533934202,-0.0097944336611069334,0.2392702464177212,0.1,5,not_applicable
4020,synthetic_num_longitudinal,random,1/10,MAE,0.016483093868001053,0.025672281538244138,-0.0091891876702430851,0.17338392770615163,0.1,5,not_applicable
4001,synthetic_num_longitudinal,random,3/10,MAE,0.038996528216401287,0.063276871393571296,-0.024280343177170009,0.2275812084278096,0.3,5,not_applicable
4002,synthetic_num_longitudinal,random,3/10,MAE,0.037016025351903115,0.059499525994919256,-0.022483500643016140,0.2299693587904879,0.3,5,not_applicable
4003,synthetic_num_longitudinal,random,3/10,MAE,0.040042245164700688,0.063267725129462558,-0.023225479964761870,0.20935829796207472,0.3,5,not_applicable
4004,synthetic_num_longitudinal,random,3/10,MAE,0.035758639344968573,0.059731188803822027,-0.023972549458853454,0.23069566494976124,0.3,5,not_applicable
4005,synthetic_num_longitudinal,random,3/10,MAE,0.036133946877449031,0.058250126366639912,-0.022116179489190881,0.2494341182425035,0.3,5,not_applicable
4006,synthetic_num_longitudinal,random,3/10,MAE,0.037098962520586781,0.060144840226974950,-0.023045877706388170,0.23010207628976032,0.3,5,not_applicable
4007,synthetic_num_longitudinal,random,3/10,MAE,0.036955119843045541,0.060077092019207615,-0.023121972176162074,0.24945337464384637,0.3,5,not_applicable
4008,synthetic_num_longitudinal,random,3/10,MAE,0.034393454907952816,0.056824486924501944,-0.022431032016549128,0.2531635664412479,0.3,5,not_applicable
4009,synthetic_num_longitudinal,random,3/10,MAE,0.038459644066845696,0.061837815332795393,-0.023378171265949697,0.24652693070405396,0.3,5,not_applicable
4010,synthetic_num_longitudinal,random,3/10,MAE,0.037525515885707354,0.058362053492824841,-0.020836537607117487,0.21671357547593412,0.3,5,not_applicable
4011,synthetic_num_longitudinal,random,3/10,MAE,0.038424599402693407,0.061794599729439977,-0.023370000326746570,0.22493706347759423,0.3,5,not_applicable
4012,synthetic_num_longitudinal,random,3/10,MAE,0.034961772786898683,0.059522520916710209,-0.024560748129811526,0.2591116446795823,0.3,5,not_applicable
4013,synthetic_num_longitudinal,random,3/10,MAE,0.035252996404284254,0.058542051083804977,-0.023289054679520723,0.22934247645562833,0.3,5,not_applicable
4014,synthetic_num_longitudinal,random,3/10,MAE,0.036702348385707953,0.058607621658241255,-0.021905273272533302,0.21699032623547432,0.3,5,not_applicable
4015,synthetic_num_longitudinal,random,3/10,MAE,0.039482250142339879,0.060860896915328744,-0.021378646772988865,0.21155117248552507,0.3,5,not_applicable
4016,synthetic_num_longitudinal,random,3/10,MAE,0.037544228544857544,0.062358624665299494,-0.024814396120441950,0.223453912874773,0.3,5,not_applicable
4017,synthetic_num_longitudinal,random,3/10,MAE,0.037083932300129548,0.059145480187542633,-0.022061547887413085,0.2286292083236408,0.3,5,not_applicable
4018,synthetic_num_longitudinal,random,3/10,MAE,0.035874521121536254,0.057655671361493004,-0.021781150239956750,0.21510723303544604,0.3,5,not_applicable
4019,synthetic_num_longitudinal,random,3/10,MAE,0.037447982146093298,0.062261090983212034,-0.024813108837118736,0.23717546208606227,0.3,5,not_applicable
4020,synthetic_num_longitudinal,random,3/10,MAE,0.037886232210830032,0.059570732997451963,-0.021684500786621931,0.18691286405825713,0.3,5,not_applicable
4001,synthetic_num_longitudinal,random,1/2,MAE,0.069637751087915864,0.098746018437715907,-0.029108267349800043,0.22034237760216402,0.5,5,not_applicable
