dataset,rho,comparator,selector_seed_index,n_malicious_subsets,mean_loss_delta_lir_minus_comparator,median_loss_delta_lir_minus_comparator,within_seed_subset_sd,paper_metric
dog,7/10,crh,14,20,-0.09880112358286852,-0.10094921079099839,0.019606999193333027,0.2847614225524373
dog,7/10,crh,15,20,-0.08919616376894586,-0.0924420910744092,0.021175480258740796,0.2847614225524373
dog,7/10,crh,16,20,-0.1184056223420666,-0.11673463312566285,0.02338023846297167,0.2847614225524373
dog,7/10,crh,17,20,-0.06015527228626895,-0.06039867609690541,0.01503340848404548,0.2847614225524373
dog,7/10,crh,18,20,-0.11375328538220211,-0.11864235910039556,0.020219434337198066,0.2847614225524373
dog,7/10,crh,19,20,-0.09754316017890023,-0.09526393379098763,0.02133807224362101,0.2847614225524373
dog,7/10,crh,20,20,-0.09937797762214713,-0.09911355377628661,0.020188832255927623,0.2847614225524373
dog,7/10,pptd_liang,1,20,-0.11078758422347232,-0.11241268724488379,0.019484080968036922,0.2847614225524373
dog,7/10,pptd_liang,2,20,-0.08478035891739144,-0.08275938144425737,0.017830126693671722,0.2847614225524373
dog,7/10,pptd_liang,3,20,-0.09200206928964098,-0.09146301476046986,0.019182506746371987,0.2847614225524373
dog,7/10,pptd_liang,4,20,-0.1433188391762284,-0.15088484638494454,0.0262236803250966,0.2847614225524373
dog,7/10,pptd_liang,5,20,-0.10986751791463015,-0.11127982312039686,0.021979001496078406,0.2847614225524373
dog,7/10,pptd_liang,6,20,-0.07738664025185196,-0.0732751130481652,0.0205759763559769,0.2847614225524373
dog,7/10,pptd_liang,7,20,-0.10037826178272669,-0.09746164006564284,0.021152587215200972,0.2847614225524373
dog,7/10,pptd_liang,8,20,-0.1302751707390995,-0.1321254384274726,0.02615739077919441,0.2847614225524373
dog,7/10,pptd_liang,9,20,-0.1232877773954348,-0.12591536899553463,0.02357626102700002,0.2847614225524373
dog,7/10,pptd_liang,10,20,-0.09384378175356081,-0.0952561709522054,0.019124281445908102,0.2847614225524373
dog,7/10,pptd_liang,11,20,-0.08535694330267282,-0.08533321892812357,0.018952111981162444,0.2847614225524373
dog,7/10,pptd_liang,12,20,-0.14196571075999817,-0.14208475714265872,0.024817168126177697,0.2847614225524373
dog,7/10,pptd_liang,13,20,-0.08793860089148352,-0.09066668014101109,0.01674642826206997,0.2847614225524373
dog,7/10,pptd_liang,14,20,-0.09895166679662003,-0.10094921079099839,0.01952887429375379,0.2847614225524373
dog,7/10,pptd_liang,15,20,-0.08926438651134146,-0.09276426459943055,0.021118167974298607,0.2847614225524373
dog,7/10,pptd_liang,16,20,-0.11861215521921994,-0.11673463312566285,0.023205443529526706,0.2847614225524373
dog,7/10,pptd_liang,17,20,-0.0600037487555382,-0.06007481459354552,0.014922796228851128,0.2847614225524373
dog,7/10,pptd_liang,18,20,-0.11382066941204075,-0.11864235910039556,0.020267448410664853,0.2847614225524373
dog,7/10,pptd_liang,19,20,-0.09760363558737106,-0.09526393379098763,0.021409226691444218,0.2847614225524373
dog,7/10,pptd_liang,20,20,-0.099438532750907,-0.09840593518610624,0.020116158055097824,0.2847614225524373
