dataset,rho,n,comparator,candidate_mean_loss,comparator_mean_loss,mean_loss_delta_lir_minus_comparator,wins,ties,losses,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_adjusted_p,holm_significant,direction,holm_direction
weather,3/10,20,pptd_liang,0.053985505764184226,0.07404419580720538,-0.02005869004302115,20,0,0,-0.022907990638962396,-0.017123638554268433,5894200862805167643,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
weather,3/10,20,tqpp_liu,0.053985505764184226,0.05751958996892857,-0.003534084204744352,13,0,7,-0.01615877701648447,0.009608632714953512,12222915982677609304,0.6021614074707031,0.11428571428571428,B1|tqpp_liu|20-cells,1.0,False,lir_win,not_significant
weather,1/2,20,crh,0.11063552227766446,0.18456795742814025,-0.07393243515047579,20,0,0,-0.0782562885587668,-0.06947395552349905,8312865804954636503,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
weather,1/2,20,pptd_liang,0.11063552227766446,0.17359415396998368,-0.06295863169231922,20,0,0,-0.06565659195510981,-0.06020922655550671,16613083722965640745,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
weather,1/2,20,tqpp_liu,0.11063552227766446,0.046015370808122395,0.06462015146954206,0,0,20,0.0523382763728265,0.07651787649560221,13994742129406446516,1.9073486328125e-06,1.0,B1|tqpp_liu|20-cells,3.814697265625e-05,True,lir_loss,lir_loss
weather,7/10,20,crh,0.1507228709827862,0.23791704958024842,-0.08719417859746222,20,0,0,-0.08841483739917871,-0.08590834088728502,10615259239148583997,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
weather,7/10,20,pptd_liang,0.1507228709827862,0.2209390853862625,-0.07021621440347632,20,0,0,-0.07130578284669972,-0.06923238419192744,15488786129977412120,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
weather,7/10,20,tqpp_liu,0.1507228709827862,0.054407533693689045,0.09631533728909714,0,0,20,0.08570229322332837,0.10668260722526894,8252551651081989746,1.9073486328125e-06,1.0,B1|tqpp_liu|20-cells,3.814697265625e-05,True,lir_loss,lir_loss
weather,9/10,9,crh,0.2464817411156145,0.2869083019999146,-0.04042656088430008,9,0,0,-0.04314821238684654,-0.0376894952799708,6068593680033014163,0.00390625,-1.0,B1|crh|20-cells,0.01953125,True,lir_win,lir_win
weather,9/10,9,pptd_liang,0.2464817411156145,0.2865683674835245,-0.040086626367910015,9,0,0,-0.04273186511395659,-0.037443256916322575,13879197621898813812,0.00390625,-1.0,B1|pptd_liang|20-cells,0.015625,True,lir_win,lir_win
weather,9/10,9,tqpp_liu,0.2464817411156145,0.13701888239053614,0.10946285872507835,0,0,9,0.10547997530000011,0.11333545122426632,13579695169423021651,0.00390625,1.0,B1|tqpp_liu|20-cells,0.0234375,True,lir_loss,lir_loss
